code	Year	metric	C_n	C_mean	C_sd	D_n	D_mean	D_sd	W_n	W_mean	W_sd	I_n	I_mean	I_sd	N_n	N_mean	N_sd	IN_n	IN_mean	IN_sd	WN_n	WN_mean	WN_sd	LAT	LON	stable	term	site.MAT	site.MAP	ECO	AT_net	GST_net	D_net	I_net	N_net	WI_net	WN_net	DN_net	IN_net
Miranda et al., 2011Drought30%	2011	ANPP	4	3.743801653	0.446280992	4	1.950413223	0.752066116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.08	-2.35	1	1	18	242	NA	NA	NA	-72	NA	NA	NA	NA	NA	NA
Miranda et al., 2011Drought30%mixed	2011	ANPP	4	3.743801653	0.446280992	4	2.462809917	0.73553719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.08	-2.35	1	1	18	242	NA	NA	NA	-72	NA	NA	NA	NA	NA	NA
Moloney et al, 2019_138	2019	AGB	2	0.269922879	0.254498715	0	NA	NA	0	NA	NA	2	2.344473008	0.208226221	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_139	2019	AGB	4	0.30848329	0.23907455	0	NA	NA	0	NA	NA	4	3.123393316	0.215938303	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	-18.5	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_140	2019	AGB	4	0.416452442	0.262210797	0	NA	NA	0	NA	NA	4	2.143958869	0.200514139	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	-18.5	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_141	2019	AGB	4	0.385604113	0.246786632	0	NA	NA	0	NA	NA	4	1.611825193	0.223650386	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	-18.5	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_142	2019	DEN	4	24.70588235	27.5	4	14.55882353	17.20588235	0	NA	NA	4	22.94117647	26.02941176	0	NA	NA	0	NA	NA	0	NA	NA	32.7	-112.84	1	1	NA	153	med & Des	NA	NA	-95.17	203.49	NA	NA	NA	NA	NA
Moloney et al, 2019_143	2019	DEN	4	27.20588235	30.44117647	4	17.94117647	21.02941176	0	NA	NA	4	35.88235294	40.44117647	0	NA	NA	0	NA	NA	0	NA	NA	32.7	-112.84	1	1	NA	153	med & Des	NA	NA	-95.17	203.49	NA	NA	NA	NA	NA
Moloney et al, 2019_144	2019	DEN	4	25.73529412	28.38235294	4	18.52941176	21.47058824	0	NA	NA	4	37.35294118	42.20588235	0	NA	NA	0	NA	NA	0	NA	NA	32.7	-112.84	1	1	NA	153	med & Des	NA	NA	-95.17	203.49	NA	NA	NA	NA	NA
Moloney et al, 2019_145	2019	DEN	4	27.20588235	30.29411765	4	16.61764706	19.41176471	0	NA	NA	4	33.23529412	37.5	0	NA	NA	0	NA	NA	0	NA	NA	32.7	-112.84	1	1	NA	153	med & Des	NA	NA	-95.17	203.49	NA	NA	NA	NA	NA
Moloney et al, 2019_146	2019	DEN	4	0.9375	0.535714286	0	NA	NA	0	NA	NA	4	7.5	2.008928571	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_147	2019	DEN	4	8.705357143	2.544642857	0	NA	NA	0	NA	NA	4	19.15178571	5.357142857	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_148	2019	DEN	4	19.6875	5.758928571	0	NA	NA	0	NA	NA	4	28.66071429	7.901785714	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_149	2019	DEN	4	18.34821429	5.223214286	0	NA	NA	0	NA	NA	4	26.51785714	7.232142857	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_150	2019	DEN	4	4.017857143	1.339285714	0	NA	NA	0	NA	NA	4	8.839285714	3.75	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_151	2019	DEN	4	10.04464286	3.080357143	0	NA	NA	0	NA	NA	4	23.70535714	9.508928571	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_152	2019	DEN	4	21.02678571	5.892857143	0	NA	NA	0	NA	NA	4	24.10714286	9.776785714	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_153	2019	DEN	4	20.625	5.758928571	0	NA	NA	0	NA	NA	4	23.03571429	9.375	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Nilsson et al., 2002_115	2002	SP	5	14.61760462	1.271299575	0	NA	NA	0	NA	NA	0	NA	NA	5	13.47041847	1.093274488	0	NA	NA	0	NA	NA	65.5	19	1	2	NA	NA	tem	NA	NA	NA	NA	5	NA	NA	NA	NA
Nilsson et al., 2002_115	2002	SP	5	14.61760462	1.271299575	0	NA	NA	0	NA	NA	0	NA	NA	5	11.33838384	0.829317925	0	NA	NA	0	NA	NA	65.5	19	1	2	NA	NA	tem	NA	NA	NA	NA	5	NA	NA	NA	NA
Nilsson et al., 2002_115	2002	SP	5	14.61760462	1.271299575	0	NA	NA	0	NA	NA	0	NA	NA	5	12.84271284	0.959594264	0	NA	NA	0	NA	NA	65.5	19	1	2	NA	NA	tem	NA	NA	NA	NA	5	NA	NA	NA	NA
Olsen & Klanderub, 2014_92	2014	DEN	10	34.05555556	1.687371394	0	NA	NA	10	29.70138362	2.522279113	0	NA	NA	10	36.09721975	3.71471786	0	NA	NA	10	29.82539683	3.153835111	60.6	7.52	1	1	NA	NA	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Olsen & Klanderub, 2014_92	2014	SP	10	17	1.395229969	0	NA	NA	10	19.05	0.854400375	0	NA	NA	10	17.25	1.821171784	0	NA	NA	10	20.8	1.557776193	60.6	7.52	1	1	NA	NA	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Olsen & Klanderub, 2014_93	2014	DEN	10	32.15972183	2.069196133	0	NA	NA	10	33.39511484	2.269409803	0	NA	NA	10	37.29861147	3.624360805	0	NA	NA	10	31.4610109	3.782020959	60.6	7.52	2	1	NA	NA	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Olsen & Klanderub, 2014_93	2014	SP	10	18.1	1.194431524	0	NA	NA	10	16.6	1.232882801	0	NA	NA	10	17.45	1.340397951	0	NA	NA	10	18.1	1.351542329	60.6	7.52	2	1	NA	NA	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Parra & Moreno, 2018_119	2018	COV	4	51.53225806	5.468629991	4	51.85483871	8.441074239	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-150	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_119	2018	H	4	1.951219512	0.085365854	4	2.298780488	0.097560976	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-150	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_119	2018	Ratio_S	4	34.91935484	10.05308059	4	51.57457027	17.02179855	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-150	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_119	2018	SP	4	27.9338843	2.809917355	4	33.05785124	1.983471074	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-150	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_120	2018	COV	4	51.53225806	5.468629991	4	52.41935484	9.555232217	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-275	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_120	2018	H	4	1.951219512	0.085365854	4	2.329268293	0.109756098	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-275	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_120	2018	Ratio_S	4	34.91935484	10.05308059	4	52.26086957	19.497916	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-275	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_120	2018	SP	4	27.9338843	2.809917355	4	35.37190083	1.487603306	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	-275	NA	NA	NA	NA	NA	NA
Parra & Moreno, 2018_121	2018	COV	4	51.53225806	5.468629991	0	NA	NA	0	NA	NA	4	58.46774194	5.424049106	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	NA	145	NA	NA	NA	NA	NA
Parra & Moreno, 2018_121	2018	H	4	1.951219512	0.085365854	0	NA	NA	0	NA	NA	4	2.109756098	0.182926829	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	NA	145	NA	NA	NA	NA	NA
Parra & Moreno, 2018_121	2018	Ratio_S	4	38.62903226	9.208509803	0	NA	NA	0	NA	NA	4	34.91935484	10.05308059	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	NA	145	NA	NA	NA	NA	NA
Parra & Moreno, 2018_121	2018	SP	4	27.9338843	2.809917355	0	NA	NA	0	NA	NA	4	29.83471074	3.305785124	0	NA	NA	0	NA	NA	0	NA	NA	39.42	-4.07	2	1	NA	455	tem	NA	NA	NA	145	NA	NA	NA	NA	NA
Penuelas et al., 2007_1	2007	SP	3	7.408536586	0.520190214	3	6.030487805	0.497749247	3	7.195121951	0.363406449	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	1	7.4	1263	Tem	0.2	NA	-315.75	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_3	2007	SP	3	8.692	1.115535746	3	9.346	0.776324674	3	9.45	1.053185644	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	1	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_5	2007	SP	3	9.584	1.718001746	3	9.664	1.780176957	3	9.834	1.273177128	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	1	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_6	2007	SP	3	0.54	0.18734994	3	0.506666667	0.155026879	3	0.583333333	0.096090235	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Penuelas et al., 2007_9	2007	SP	3	7.6675	1.31790689	3	6.0425	0.364995108	3	7.95625	1.025195974	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	1	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Post & Pedersen, 2008_31	2008	DEN	12	41.27868853	16.25779948	0	NA	NA	12	44.42622951	25.33622336	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.11	-50.37	1	1	NA	NA	Arc	1.71	NA	NA	NA	NA	NA	NA	NA	NA
Post & Pedersen, 2008_31	2008	Ratio_S	12	111.4356935	17.05423913	0	NA	NA	12	113.3616427	18.69372527	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.11	-50.37	1	1	NA	NA	Arc	1.71	NA	NA	NA	NA	NA	NA	NA	NA
Post & Pedersen, 2008_31_1	2008	DEN	12	39.70491803	16.0933183	0	NA	NA	12	41.67213115	18.74538374	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.11	-50.37	1	1	NA	NA	Arc	1.71	NA	NA	NA	NA	NA	NA	NA	NA
Post & Pedersen, 2008_31_1	2008	Ratio_S	12	98.4	10.89954127	0	NA	NA	12	109.4	7.956129712	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.11	-50.37	1	1	NA	NA	Arc	1.71	NA	NA	NA	NA	NA	NA	NA	NA
Press et al., 1998_29	1998	AGB_S	6	518.7	14.31083506	0	NA	NA	6	603.4	11.40394669	6	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	1998	AGB_S	6	582.9	12.03004572	0	NA	NA	6	NA	NA	6	539.2	15.02637681	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	1998	AGB_S	6	531.1	12.43253795	0	NA	NA	6	NA	NA	6	NA	NA	6	590.9	14.31083506	0	NA	NA	0	NA	NA	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	NA	NA	NA
Press et al., 1998_29	1998	SP	6	17.09570957	0.99009901	0	NA	NA	6	17.75577558	0.792079208	6	NA	NA	6	15.31353135	1.254125413	0	NA	NA	6	13.26732673	0.924092409	68.35	18.82	1	1	-1	304	Arc	NA	3	NA	121	10	NA	30	NA	NA
Prieto et al., 2009a_132	2009	AGB	3	615.3846154	135.5834541	3	562.3626374	108.6424462	3	642.032967	144.1359859	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Prieto et al., 2009b_161	2009	SP	3	7.662116041	1.322875498	3	6.01109215	0.361165923	3	7.939419795	1.040565904	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_1	2017	AGB	3	1701.205	216.2535531	3	1786.261667	193.0817636	3	1712.6825	192.3725525	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	1	7.4	1263	Tem	0.2	NA	-315.75	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_1	2017	ANPP	3	75.73285714	27.25686743	3	67.57285714	21.37700397	3	74.87142857	26.36010005	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	1	7.4	1263	Tem	0.2	NA	-315.75	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_2	2017	AGB	3	457.80125	104.6925801	3	429.76375	90.03644087	3	468.81	102.2317457	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	55.88	11.97	1	2	9.4	757	Tem	0.2	NA	-60.6	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_2	2017	ANPP	3	177.6766667	85.45975606	3	177.5466667	97.52362968	3	183.08	79.67422243	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	55.88	11.97	1	2	9.4	757	Tem	0.2	NA	-60.6	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_3	2017	AGB	3	402.3790909	204.2341404	3	262.0527273	115.1983716	3	348.21	143.001338	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	1	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_3	2017	ANPP	3	135.085	68.99819208	3	60.26333333	36.15948764	3	122.545	78.33051174	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	1	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_4	2017	AGB	3	435.8541667	113.6671794	3	368.11	92.47564053	3	490.705	153.9930658	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	52.4	5.92	1	1	8.9	1005	Tem	0.3	NA	-190.9	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_4	2017	ANPP	3	137.5942857	64.37880703	3	61.40142857	40.17574369	3	123.0885714	84.84653979	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	52.4	5.92	1	1	8.9	1005	Tem	0.3	NA	-190.9	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_5	2017	AGB	3	132.689	8.179883794	3	123.066	19.44492633	3	184.387	32.09108878	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	1	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_5	2017	ANPP	3	31.03083333	4.596821942	3	29.39666667	4.191145067	3	33.54083333	5.078626261	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	1	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_6	2017	AGB	3	264	16	3	207	14	3	240	14	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_6	2017	ANPP	3	53.184	18.20688551	3	29.83	14.61962893	3	52.316	16.74154503	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_9	2017	AGB	3	324.5177778	81.60312031	3	298.6588889	71.85818837	3	343.8388889	93.83543819	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Reinsch et al 2017_9	2017	ANPP	3	73.6925	21.92037522	3	67.00625	32.8131402	3	79.1825	41.55745928	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Richardson et al., 2002_28	2002	AGB	4	730.4347826	98.38007392	0	NA	NA	4	891.3043479	288.9914672	0	NA	NA	4	773.9130435	110.6775831	0	NA	NA	4	834.7826087	172.1651293	68.35	18.82	1	2	-1	304	Arc	NA	3	NA	NA	10	NA	30	NA	NA
Richardson et al., 2002_28	2002	AGB_S	4	631.25	44.19417382	0	NA	NA	4	818.75	309.3592168	0	NA	NA	4	556.25	97.22718241	0	NA	NA	4	500	212.1320344	68.35	18.82	1	2	-1	304	Arc	NA	3	NA	NA	10	NA	30	NA	NA
Richardson et al., 2002_28	2002	Ratio_S	4	87.055	6.003336572	0	NA	NA	4	90.91	4.822468248	0	NA	NA	4	73.08	22.92440185	0	NA	NA	4	63.785	38.4878221	68.35	18.82	1	2	-1	304	Arc	NA	3	NA	NA	10	NA	30	NA	NA
Rinnan et al 2009_72	2009	COV	5	124.978048	14.118255	0	NA	NA	5	134.2646066	13.22869982	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	69.5	20.83	1	1	-2.3	304	Arc	NA	1.2	NA	NA	NA	NA	NA	NA	NA
Rinnan et al 2009_72	2009	Ratio_S	5	57.26	10.0833427	0	NA	NA	5	64.48	8.541849917	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	69.5	20.83	1	1	-2.3	304	Arc	NA	1.2	NA	NA	NA	NA	NA	NA	NA
Rinnan et al 2009_73	2009	COV	5	132.1242824	24.72843878	0	NA	NA	5	120.9937521	17.52722125	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	69.5	20.83	2	1	-2.3	304	Arc	NA	1.2	NA	NA	NA	NA	NA	NA	NA
Rinnan et al 2009_73	2009	Ratio_S	5	54.58	5.091168825	0	NA	NA	5	56.44	5.374011537	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	69.5	20.83	2	1	-2.3	304	Arc	NA	1.2	NA	NA	NA	NA	NA	NA	NA
Salesa et al 2022_Ayora_autumn drought	2022	SP	5	6	0.4	5	5	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.12	-0.95	2	1	14.6	381.3	tem	NA	NA	-235.4784	NA	NA	NA	NA	NA	NA
Salesa et al 2022_Ayora_autumn drought	2022	SP	5	6	0.4	5	6	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.12	-0.95	2	1	14.6	381.3	tem	NA	NA	-235.4784	NA	NA	NA	NA	NA	NA
She et al 2016_61	2016	COV	4	0.644320298	0.193668529	0	NA	NA	0	NA	NA	4	0.817504655	0.152700186	4	0.756052142	0.122905028	4	0.729981378	0.156424581	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	56	6	NA	NA	NA	336
She et al 2016_61_1	2016	COV	4	0.644320298	0.193668529	0	NA	NA	0	NA	NA	4	0.707635009	0.186219739	4	NA	NA	4	NA	NA	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2016_61_2	2016	COV	4	0.644320298	0.193668529	0	NA	NA	0	NA	NA	4	NA	NA	4	NA	NA	4	0.672253259	0.189944134	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2020_61	2016	Ratio_S	4	50.89552239	7.45335237	0	NA	NA	0	NA	NA	4	40.2238806	6.740008325	4	40.52238806	8.364869415	4	38.80597015	8.478938828	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	56	6	NA	NA	NA	336
She et al 2020_61_1	2016	Ratio_S	4	50.89552239	7.45335237	0	NA	NA	0	NA	NA	4	37.8358209	6.184131634	4	NA	NA	4	NA	NA	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2020_61_2	2016	Ratio_S	4	50.89552239	7.45335237	0	NA	NA	0	NA	NA	4	NA	NA	4	NA	NA	4	33.88059701	6.981102968	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2021_63	2021	ANPP	4	138.76	58.93715297	0	NA	NA	0	NA	NA	4	209.9	56.56668631	4	212.78	32.75960928	4	262.52	49.7265221	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	56	6	NA	NA	NA	336
She et al 2021_63	2021	Ratio_S	4	73.24	13.40757249	0	NA	NA	0	NA	NA	4	67.84	8.341642524	4	61.88	22.14705398	4	60.72	21.35326673	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	56	6	NA	NA	NA	336
She et al 2021_63_1	2021	ANPP	4	138.76	58.93715297	0	NA	NA	0	NA	NA	4	299.4	46.9691388	4	NA	NA	4	257.06	34.38099766	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
She et al 2021_63_1	2021	Ratio_S	4	73.24	13.40757249	0	NA	NA	0	NA	NA	4	73.48	7.903606772	4	NA	NA	4	49.58	19.19145643	0	NA	NA	37.07	106.5	1	1	8.1	284.8	Med & Des	NA	NA	NA	112	6	NA	NA	NA	672
Shi et al., 2021_125	2021	AGB	8	34.14	7.891311678	0	NA	NA	8	40.16	21.94859449	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	1	1	-1.7	561	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Shi et al., 2021_125	2021	SP	8	16.5	1.58391919	0	NA	NA	8	12.16	2.658721497	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	1	1	-1.7	561	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Sistla et al 2013	2013	AGB	4	474.9	65.2	0	NA	NA	4	748.7	151.8	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.63	-149.57	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
Sistla et al 2013	2013	Ratio_S	4	0.51	0.002	0	NA	NA	4	0.61	0.03	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.63	-149.57	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
Smith et al., 2007_66	2007	COV	4	10.29929577	1.795774648	0	NA	NA	0	NA	NA	4	13.30985915	1.161971831	4	9.401408451	1.478873239	4	15.79225352	4.014084507	0	NA	NA	36.82	-115.92	2	1	16.68	138	Med & Des	NA	NA	NA	50	1	NA	NA	NA	50
Smith et al., 2007_66_1	2007	COV	4	10.29929577	1.795774648	0	NA	NA	0	NA	NA	4	NA	NA	4	10.45774648	1.690140845	4	14.47183099	2.64084507	0	NA	NA	36.82	-115.92	2	1	16.68	138	Med & Des	NA	NA	NA	50	4	NA	NA	NA	200
Smith et al., 2007_67	2007	COV	4	9.084507042	3.485915493	0	NA	NA	0	NA	NA	4	12.04225352	2.323943662	4	8.873239437	1.161971831	4	12.14788732	3.485915493	0	NA	NA	36.82	-115.92	2	1	16.68	138	Med & Des	NA	NA	NA	50	1	NA	NA	NA	50
Smith et al., 2007_67_1	2007	COV	4	9.084507042	3.485915493	0	NA	NA	0	NA	NA	4	NA	NA	4	9.718309859	2.323943662	4	13.41549296	2.535211268	0	NA	NA	36.82	-115.92	2	1	16.68	138	Med & Des	NA	NA	NA	50	4	NA	NA	NA	200
Song et al., 2012_Irrigation_100%	2012	ANPP	4	57.6	8.7	NA	NA	NA	NA	NA	NA	4	211	39.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.57	102.87	1	1	7.8	115	NA	NA	NA	NA	230	NA	NA	NA	NA	NA
Song et al., 2012_Irrigation_25%	2012	ANPP	4	57.6	8.7	NA	NA	NA	NA	NA	NA	4	61.5	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.57	102.87	1	1	7.8	115	NA	NA	NA	NA	143.75	NA	NA	NA	NA	NA
Song et al., 2012_Irrigation_50%	2012	ANPP	4	57.6	8.7	NA	NA	NA	NA	NA	NA	4	83.2	5.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.57	102.87	1	1	7.8	115	NA	NA	NA	NA	172.5	NA	NA	NA	NA	NA
Song et al., 2012_Irrigation_75%	2012	ANPP	4	57.6	8.7	NA	NA	NA	NA	NA	NA	4	105.6	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.57	102.87	1	1	7.8	115	NA	NA	NA	NA	201.25	NA	NA	NA	NA	NA
Souza et al., 2016_118	2016	ANPP	12	632.0292414	239.584757	0	NA	NA	0	NA	NA	0	NA	NA	12	574.406	203.8352687	0	NA	NA	0	NA	NA	35.97	-84.28	2	1	NA	1322	tem	NA	NA	NA	NA	10	NA	NA	NA	NA
